date,time,year,month,day,mins,hour,NDSI,AEI,ADI,BI,ACI,period,season
2021-12-14,06:00:00,2021,12,14,0,6,0.828672796914461,0.019198,2.302006,4.65543626162577,1827.90250732307,dawn,Summer
2021-12-14,06:10:00,2021,12,14,10,6,0.789027719435786,0.056032,2.297675,2.8182555621367,1824.9213139568,dawn,Summer
2021-12-14,06:20:00,2021,12,14,20,6,0.664605053732632,0.135753,2.272869,2.36189358093858,1824.99351071913,dawn,Summer
2021-12-14,06:30:00,2021,12,14,30,6,0.163016443698934,0.152659,2.264742,2.36021982112955,1814.77016328331,dawn,Summer
2021-12-14,06:40:00,2021,12,14,40,6,0.739258396198992,0.241631,2.210496,3.62131889777132,1842.95530397379,dawn,Summer
2021-12-14,06:50:00,2021,12,14,50,6,0.323447639911699,0.040896,2.299816,1.88615724381612,1815.40165560518,dawn,Summer
2021-12-14,07:00:00,2021,12,14,0,7,0.899944359091991,0.361961,2.082149,5.87735053200639,1828.89705050931,dawn,Summer
2021-12-14,07:10:00,2021,12,14,10,7,0.671148248005473,0.077862,2.292963,4.08199706037871,1824.77805805069,dawn,Summer
2021-12-14,07:20:00,2021,12,14,20,7,0.44902813657864,0.090197,2.289674,2.70327021784647,1825.23088466225,dawn,Summer
2021-12-14,07:30:00,2021,12,14,30,7,0.53894696281415,0.18202,2.25019,3.3456934639725,1815.39377530788,dawn,Summer
2021-12-14,07:40:00,2021,12,14,40,7,0.751076129819834,0.048967,2.298759,3.65748205632309,1819.69989495734,dawn,Summer
2021-12-14,07:50:00,2021,12,14,50,7,0.343015471879302,0.244455,2.205569,2.44011442317631,1810.54637526743,dawn,Summer
2021-12-14,08:00:00,2021,12,14,0,8,0.602737191770432,0.386714,2.05009,2.46855387914312,1825.75958890116,morning,Summer
2021-12-14,08:10:00,2021,12,14,10,8,0.623401539098875,0.274191,2.178902,3.47267790595665,1847.59572414758,morning,Summer
2021-12-14,08:20:00,2021,12,14,20,8,0.768030457511075,0.230516,2.212093,2.99141445923144,1815.8348020589,morning,Summer
